"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type"
"Pomerol 2011","France","Pomerol","Château La Providence",4.2,100,95,"2011","Red"
"Lirac 2017","France","Lirac","Château Mont-Redon",4.3,100,15.5,"2017","Red"
"Erta e China Rosso di Toscana 2015","Italy","Toscana","Renzo Masi",3.9,100,7.45,"2015","Red"
"Bardolino 2019","Italy","Bardolino","Cavalchina",3.5,100,8.72,"2019","Red"
"Ried Scheibner Pinot Noir 2016","Austria","Carnuntum","Markowitsch",3.9,100,29.15,"2016","Red"
"Gigondas (Nobles Terrasses) 2017","France","Gigondas","Vieux Clocher",3.7,100,19.9,"2017","Red"
"Marion's Vineyard Pinot Noir 2016","New Zealand","Wairarapa","Schubert",4,100,43.87,"2016","Red"
"Red Blend 2014","Chile","Itata Valley","Viña La Causa",3.9,100,17.52,"2014","Red"
"Chianti 2015","Italy","Chianti","Castello Montaùto",3.6,100,10.75,"2015","Red"
"Tradition 2014","France","Minervois","Domaine des Aires Hautes",3.5,100,6.9,"2014","Red"
"Chianti Riserva 2013","Italy","Chianti","Poggiotondo",3.9,100,20.95,"2013","Red"
"Descendant 2016","Australia","Barossa","Torbreck",4.3,100,140.64,"2016","Red"
"Les Obriers de la Peira Terrasses du Larzac 2017","France","Terrasses du Larzac","La Pèira en Damaisèla",4.1,100,14.52,"2017","Red"
"Zenas Primitivo 2018","Italy","Puglia","La Bollina",3.6,100,9.26,"2018","Red"
"Cuvée Confidence Côtes du Rhône Rouge 2017","France","Côtes-du-Rhône","Domaine Fond Croze",3.7,100,8.49,"2017","Red"
"Shiraz 2018","Australia","South Eastern Australia","Barramundi",3.2,100,6.5,"2018","Red"
"Proprietor's Blend 2016","South Africa","Stellenbosch","Ernie Els",4.2,100,29.09,"2016","Red"
"La Bienquerida 2016","Spain","Bierzo","Losada",4.3,100,41.58,"2016","Red"
"Cabernet Sauvignon 2015","United States","California","Hacienda",3.8,100,7.95,"2015","Red"
"Fulgeo Negroamaro Salento 2016","Italy","Salento","San Donaci",4,100,12.9,"2016","Red"
"Contraste Tinto 2015","Portugal","Douro","Conceito",3.4,100,9.9,"2015","Red"
"Steiner 2013","Hungary","Sopron","Weninger",3.7,100,24.5,"2013","Red"
"Old Vines Primitivo 2015","Italy","Puglia","Azienda Agricola Morella",4.2,100,38.7,"2015","Red"
"Virtus Tannat 2013","Brazil","Serra Gaúcha","Monte Paschoal",2.9,100,6.77,"2013","Red"
"Kallista 2015","South Africa","Stellenbosch","Vriesenhof",4.3,100,26.25,"2015","Red"
"Badia a Passignano Gran Selezione Chianti Classico 2016","Italy","Chianti Classico","Antinori",4.2,1000,39.9,"2016","Red"
"Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012","France","Saint-Émilion Grand Cru","Château Figeac",4.4,1000,174.49,"2012","Red"
"Carlo V Il Rosso dell'Imperatore 2013","Italy","Veneto","Colli Vicentini",3.7,1000,15.9,"2013","Red"
"Pinot Noir 2016","United States","Monterey","District 7",3.6,1001,15.98,"2016","Red"
"Marquis de Calon Saint-Estèphe 2015","France","Saint-Estèphe","Château Calon-Ségur",3.9,1001,43.28,"2015","Red"
"Hécula Monastrell 2017","Spain","Yecla","Castaño",3.3,1004,8.83,"2017","Red"
